case,completeTime,event,b0,b1,b2,b3,b4,b5,b6
0,0,0000001,0,0,0,0,0,0,1
0,481,0000010,0,0,0,0,0,1,0
0,506,0000100,0,0,0,0,1,0,0
0,743,0001000,0,0,0,1,0,0,0
0,808,0010000,0,0,1,0,0,0,0
0,1131,0100000,0,1,0,0,0,0,0
1,120,0000001,0,0,0,0,0,0,1
1,485,0000010,0,0,0,0,0,1,0
1,499,0000100,0,0,0,0,1,0,0
1,729,0001000,0,0,0,1,0,0,0
1,974,0010000,0,0,1,0,0,0,0
1,1316,0100000,0,1,0,0,0,0,0
2,460,0000001,0,0,0,0,0,0,1
2,879,0000010,0,0,0,0,0,1,0
2,935,0000100,0,0,0,0,1,0,0
2,1276,0001000,0,0,0,1,0,0,0
2,1792,0010000,0,0,1,0,0,0,0
2,2161,0100000,0,1,0,0,0,0,0
3,714,0000001,0,0,0,0,0,0,1
3,905,0000010,0,0,0,0,0,1,0
3,1239,0000100,0,0,0,0,1,0,0
3,1531,0001000,0,0,0,1,0,0,0
3,2089,0010000,0,0,1,0,0,0,0
3,2565,0100000,0,1,0,0,0,0,0
4,1241,0000001,0,0,0,0,0,0,1
4,1446,0000010,0,0,0,0,0,1,0
4,1749,0000100,0,0,0,0,1,0,0
4,1965,0001000,0,0,0,1,0,0,0
4,2251,0010000,0,0,1,0,0,0,0
4,2411,0100000,0,1,0,0,0,0,0
5,1526,0000001,0,0,0,0,0,0,1
5,1707,0000010,0,0,0,0,0,1,0
5,1850,0000100,0,0,0,0,1,0,0
5,2156,0001000,0,0,0,1,0,0,0
5,2184,0010000,0,0,1,0,0,0,0
5,2227,0100000,0,1,0,0,0,0,0
6,1625,0000001,0,0,0,0,0,0,1
6,2049,0000010,0,0,0,0,0,1,0
6,2085,0000100,0,0,0,0,1,0,0
6,2611,0001000,0,0,0,1,0,0,0
6,2793,1000000,1,0,0,0,0,0,0
6,3367,0100000,0,1,0,0,0,0,0
7,1824,0000001,0,0,0,0,0,0,1
7,1975,0000010,0,0,0,0,0,1,0
7,2093,0000100,0,0,0,0,1,0,0
7,2311,0001000,0,0,0,1,0,0,0
7,2587,1000000,1,0,0,0,0,0,0
7,3003,0100000,0,1,0,0,0,0,0
8,2361,0000001,0,0,0,0,0,0,1
8,2604,0000010,0,0,0,0,0,1,0
